міндетінен	міндет:ROOT/і:MORPH/нен:MORPH
лордтың	лорд:ROOT/тың:MORPH
екеуінің	ек:ROOT/еу:MORPH/і:MORPH/нің:MORPH
көрсеткісі	көр:ROOT/се:MORPH/т:MORPH/кісі:MORPH
оқығандықтан	оқы:ROOT/ған:MORPH/дық:MORPH/тан:MORPH
Біреудің	Бір:ROOT/еу:MORPH/дің:MORPH
береді	бер:ROOT/е:MORPH/ді:MORPH
қызмет	қызмет:ROOT
кәсіби	кәсіб:ROOT/и:MORPH
бағыну	бағын:ROOT/у:MORPH
мәнінде	мән:ROOT/і:MORPH/н:MORPH/де:MORPH
әшкерелеп	әшкере:ROOT/ле:MORPH/п:MORPH
көзі	көз:ROOT/і:MORPH
бүгінгі	бүгін:ROOT/гі:MORPH
мен	мен:ROOT
қолданылмайтын	қолдан:ROOT/ыл:MORPH/ма:MORPH/йтын:MORPH
аяулы	аяу:ROOT/лы:MORPH
ойынша	ой:ROOT/ы:MORPH/н:MORPH/ша:MORPH
құралы	құрал:ROOT/ы:MORPH
шығарады	шығ:ROOT/ар:MORPH/а:MORPH/ды:MORPH
ашық	ашық:ROOT
түйсік	түйсік:ROOT
тәжірибесінің	тәжірибе:ROOT/сі:MORPH/нің:MORPH
бекітуге	бекіт:ROOT/у:MORPH/ге:MORPH
сол	сол:ROOT
Бірақ	Бірақ:ROOT
бақытын	бақыт:ROOT/ы:MORPH/н:MORPH
көзқарастар	көз:ROOT/қарастар:MORPH
болып	бол:ROOT/ып:MORPH
лайық	лайық:ROOT
қажымайтын	қажы:ROOT/ма:MORPH/йтын:MORPH
кейін	кейін:ROOT
философиялық	философия:ROOT/лық:MORPH
potestas	potestas:ROOT
қарсы	қарсы:ROOT
міндетті	міндет:ROOT/ті:MORPH
қатысушылардың	қатыс:ROOT/у:MORPH/шы:MORPH/лар:MORPH/дың:MORPH
тұлға	тұлға:ROOT
туралы	туралы:ROOT
айырмашылық	айырма:ROOT/шылық:MORPH
медицина	медицина:ROOT
және	және:ROOT
Декарттың	Декарт:ROOT/тың:MORPH
адамның	адам:ROOT/ның:MORPH
берді	бер:ROOT/ді:MORPH
қарайды	қара:ROOT/й:MORPH/ды:MORPH
елеусіз	елеу:ROOT/сіз:MORPH
мәнері	мәнер:ROOT/і:MORPH
бірқатар	бірқатар:ROOT
сын	сын:ROOT
тым	тым:ROOT
Эшлиді	Эшли:ROOT/ді:MORPH
жауапқа	жауап:ROOT/қа:MORPH
шығармасы	шығ:ROOT/ар:MORPH/ма:MORPH/сы:MORPH
XVII	XVII:ROOT
тұр	тұр:ROOT
бұл	бұл:ROOT
басты	басты:ROOT
көлеңкелер	көлеңке:ROOT/лер:MORPH
алады	ал:ROOT/а:MORPH/ды:MORPH
Өйткені	Өйткені:ROOT
дін	дін:ROOT
философтар	философ:ROOT/тар:MORPH
екенін	е:ROOT/кен:MORPH/і:MORPH/н:MORPH
бір	бір:ROOT
Павсаний	Павсаний:ROOT
мен	мен:ROOT
келген	кел:ROOT/ген:MORPH
дакелмейді	даке:ROOT/л:MORPH/ме:MORPH/й:MORPH/ді:MORPH
ештеңе	ештеңе:ROOT
қарастырылады	қарас:ROOT/тыр:MORPH/ыл:MORPH/а:MORPH/ды:MORPH
қамтуға	қамт:ROOT/у:MORPH/ға:MORPH
тартып	тарт:ROOT/ып:MORPH
болғанға	бол:ROOT/ған:MORPH/ға:MORPH
Аристофанға	Аристофан:ROOT/ға:MORPH
үшін	үшін:ROOT
осының	осы:ROOT/ның:MORPH
жекелеген	жеке:ROOT/ле:MORPH/ген:MORPH
Кант	Кант:ROOT
тастамайды	тас:ROOT/та:MORPH/ма:MORPH/й:MORPH/ды:MORPH
мен	мен:ROOT
жеткізуге	жет:ROOT/кіз:MORPH/у:MORPH/ге:MORPH
Сет	Сет:ROOT
маңызды	маңыз:ROOT/ды:MORPH
дейді	де:ROOT/й:MORPH/ді:MORPH
Сократ	Сократ:ROOT
күнге	күн:ROOT/ге:MORPH
түсінігі	түсініг:ROOT/і:MORPH
атынан	ат:ROOT/ы:MORPH/нан:MORPH
Осындай	Осын:ROOT/дай:MORPH
деген	де:ROOT/ген:MORPH
Платонның	Платон:ROOT/ның:MORPH
Лейбниц	Лейбниц:ROOT
Аристофандар	Аристофандар:ROOT
еңбектерінің	еңбек:ROOT/тер:MORPH/і:MORPH/нің:MORPH
емес	е:ROOT/мес:MORPH
екі	екі:ROOT
ең	ең:ROOT
пен	пен:ROOT
мәжбүр	мәжбүр:ROOT
тіршілік	тір:ROOT/шілік:MORPH
Ортасы	Орта:ROOT/сы:MORPH
ойшылдың	ой:ROOT/шыл:MORPH/дың:MORPH
Сократ	Сократ:ROOT
мүмкін	мүмкін:ROOT
таралуы	тарал:ROOT/у:MORPH/ы:MORPH
мойындайды	мойын:ROOT/да:MORPH/й:MORPH/ды:MORPH
биік	биік:ROOT
ерікқалауымызға	ерікқала:ROOT/у:MORPH/ы:MORPH/мыз:MORPH/ға:MORPH
де	де:ROOT
пікірінше	пікір:ROOT/і:MORPH/н:MORPH/ше:MORPH
есептеу	есеп:ROOT/те:MORPH/у:MORPH
саяси	саяс:ROOT/и:MORPH
әңгімелейді	әңгіме:ROOT/ле:MORPH/й:MORPH/ді:MORPH
де	де:ROOT
ақындар	ақын:ROOT/дар:MORPH
ассоциация	ассоциация:ROOT
ақиқатқа	ақиқат:ROOT/қа:MORPH
басқа	басқа:ROOT
символы	символ:ROOT/ы:MORPH
ақылпарасатқа	ақылпарасат:ROOT/қа:MORPH
барлық	барлық:ROOT
әрқилы	әрқи:ROOT/лы:MORPH
қылып	қыл:ROOT/ып:MORPH
potentia	potentia:ROOT
мейірім	мейірім:ROOT
абыз	абыз:ROOT
ұстанымдарын	ұстан:ROOT/ым:MORPH/да:MORPH/рын:MORPH
негізінен	негіз:ROOT/і:MORPH/нен:MORPH
мен	мен:ROOT
тартады	тарт:ROOT/а:MORPH/ды:MORPH
нәрсе	нәрсе:ROOT
терең	терең:ROOT
қала	қал:ROOT/а:MORPH
ең	ең:ROOT
жатады	жат:ROOT/а:MORPH/ды:MORPH
түпкі	түпкі:ROOT
форма	форма:ROOT
өлім	өлім:ROOT
өзгереді	өз:ROOT/гер:MORPH/е:MORPH/ді:MORPH
үдерісі	үдеріс:ROOT/і:MORPH
айтуға	айт:ROOT/у:MORPH/ға:MORPH
үстінде	үст:ROOT/і:MORPH/н:MORPH/де:MORPH
Аугустин	Аугустин:ROOT
Басқаша	Басқа:ROOT/ша:MORPH
қайғымұңсыз	қайғымұң:ROOT/сыз:MORPH
жоғары	жоғары:ROOT
төрт	төрт:ROOT
жазадан	жаза:ROOT/дан:MORPH
түрлі	түр:ROOT/лі:MORPH
ақиқаттылығының	ақиқат:ROOT/ты:MORPH/лығ:MORPH/ы:MORPH/ның:MORPH
игеру	игер:ROOT/у:MORPH
синонимдер	синоним:ROOT/дер:MORPH
түседі	түс:ROOT/е:MORPH/ді:MORPH
сыбызғышы	сыбыз:ROOT/ғы:MORPH/шы:MORPH
берілген	бер:ROOT/іл:MORPH/ген:MORPH
сенімді	сен:ROOT/ім:MORPH/ді:MORPH
негізі	негіз:ROOT/і:MORPH
кометалар	комета:ROOT/лар:MORPH
құндылығын	құн:ROOT/ды:MORPH/лығ:MORPH/ын:MORPH
кейіпкер	кейіп:ROOT/кер:MORPH
келіседі	келіс:ROOT/е:MORPH/ді:MORPH
пайда	пайда:ROOT
жөнінде	жөн:ROOT/і:MORPH/н:MORPH/де:MORPH
қалауынан	қалау:ROOT/ы:MORPH/нан:MORPH
күрделі	күрделі:ROOT
енді	енді:ROOT
Сократты	Сократ:ROOT/ты:MORPH
осы	осы:ROOT
Марион	Марион:ROOT
ғибратты	ғибрат:ROOT/ты:MORPH
сабақ	сабақ:ROOT
қасаң	қасаң:ROOT
олқы	олқ:ROOT/ы:MORPH
тарихшылары	тарих:ROOT/шы:MORPH/лар:MORPH/ы:MORPH
бастар	бастар:ROOT
Англияға	Англия:ROOT/ға:MORPH
асыруға	асыр:ROOT/у:MORPH/ға:MORPH
ЖРодисЛьюистің	ЖРодисЛьюис:ROOT/тің:MORPH
құрылымы	құрылым:ROOT/ы:MORPH
болады	бол:ROOT/а:MORPH/ды:MORPH
өзара	өзара:ROOT
төрт	төрт:ROOT
және	және:ROOT
көмегімен	көмег:ROOT/і:MORPH/мен:MORPH
пайымдаушы	пайым:ROOT/да:MORPH/у:MORPH/шы:MORPH
оның	о:ROOT/ның:MORPH
олқылығы	олқылығ:ROOT/ы:MORPH
екеуара	ек:ROOT/еуара:MORPH
ды	ды:ROOT
диалогтары	диалог:ROOT/тар:MORPH/ы:MORPH
Мантинеядан	Мантинея:ROOT/дан:MORPH
үлкен	үлкен:ROOT
яғни	яғни:ROOT
келуі	кел:ROOT/у:MORPH/і:MORPH
тартымдылығына	тарт:ROOT/ым:MORPH/дылығ:MORPH/ы:MORPH/на:MORPH
болады	бол:ROOT/а:MORPH/ды:MORPH
кездесуінен	кездес:ROOT/у:MORPH/і:MORPH/нен:MORPH
деп	деп:ROOT
зұлым	зұлым:ROOT
ету	ет:ROOT/у:MORPH
оның	о:ROOT/ның:MORPH
координаттар	координат:ROOT/тар:MORPH
Диоген	Диоген:ROOT
күш	күш:ROOT
көзқарасы	көзқара:ROOT/сы:MORPH
тікелей	тіке:ROOT/лей:MORPH
мәні	мән:ROOT/і:MORPH
ашады	аш:ROOT/а:MORPH/ды:MORPH
әмбебап	әмбебап:ROOT
әрі	әрі:ROOT
кез	кез:ROOT
әрі	әрі:ROOT
ретінде	рет:ROOT/і:MORPH/нде:MORPH
адамның	адам:ROOT/ның:MORPH
шығарды	шығ:ROOT/ар:MORPH/ды:MORPH
одан	о:ROOT/дан:MORPH
түрлі	түр:ROOT/лі:MORPH
Кейінірек	Кейін:ROOT/ірек:MORPH
жүре	жүр:ROOT/е:MORPH
болуы	бол:ROOT/у:MORPH/ы:MORPH
Спинозаның	Спиноза:ROOT/ның:MORPH
болады	бол:ROOT/а:MORPH/ды:MORPH
жанр	жанр:ROOT
ізгіліктері	із:ROOT/гі:MORPH/лік:MORPH/тер:MORPH/і:MORPH
оты	от:ROOT/ы:MORPH
мүмкін	мүмкін:ROOT
бойын	бой:ROOT/ы:MORPH/н:MORPH
Өйткені	Өйткені:ROOT
ұстанымын	ұстаным:ROOT/ын:MORPH
өзге	өз:ROOT/ге:MORPH
бұл	бұл:ROOT
Сократ	Сократ:ROOT
оқуға	оқ:ROOT/у:MORPH/ға:MORPH
мемлекетті	мемлекет:ROOT/ті:MORPH
интеллектуалдық	интеллектуал:ROOT/дық:MORPH
тұрады	тұр:ROOT/а:MORPH/ды:MORPH
Жанның	Жан:ROOT/ның:MORPH
махаббат	махаббат:ROOT
рух	рух:ROOT
анықтамалар	анық:ROOT/тама:MORPH/лар:MORPH
Платон	Платон:ROOT
бақытқа	бақыт:ROOT/қа:MORPH
енгізуді	енгіз:ROOT/у:MORPH/ді:MORPH
беделі	бедел:ROOT/і:MORPH
ашкөз	ашкөз:ROOT
Енді	Енді:ROOT
және	және:ROOT
жағдайға	жағдай:ROOT/ға:MORPH
саясаткерлер	саясат:ROOT/кер:MORPH/лер:MORPH
салдарын	салдар:ROOT/ы:MORPH/н:MORPH
Бірақ	Бірақ:ROOT
жүруі	жүр:ROOT/у:MORPH/і:MORPH
арасындағы	ара:ROOT/сы:MORPH/нда:MORPH/ғы:MORPH
сауалына	сауал:ROOT/ы:MORPH/на:MORPH
тыйым	тыйым:ROOT
тіліне	тіл:ROOT/і:MORPH/не:MORPH
дереккөзі	дереккөзі:ROOT
үздіксіз	үздік:ROOT/сіз:MORPH
пікіріне	пікір:ROOT/і:MORPH/не:MORPH
болатын	бол:ROOT/атын:MORPH
дегеніміз	деген:ROOT/і:MORPH/міз:MORPH
жан	жан:ROOT
модельді	модель:ROOT/ді:MORPH
философ	философ:ROOT
да	да:ROOT
құрылысын	құр:ROOT/ыл:MORPH/ыс:MORPH/ы:MORPH/н:MORPH
болса	бол:ROOT/са:MORPH
сөздің	сөз:ROOT/дің:MORPH
диалогтарға	диалог:ROOT/тар:MORPH/ға:MORPH
дәл	дәл:ROOT
Фалес	Фалес:ROOT
софистикамен	софистика:ROOT/мен:MORPH
ұқсамайтын	ұқса:ROOT/ма:MORPH/йтын:MORPH
шығармада	шығ:ROOT/ар:MORPH/ма:MORPH/да:MORPH
баяндап	баян:ROOT/да:MORPH/п:MORPH
Эшли	Эшли:ROOT
көрсетеді	көр:ROOT/се:MORPH/т:MORPH/е:MORPH/ді:MORPH
пікірінше	пікір:ROOT/і:MORPH/н:MORPH/ше:MORPH
бар	бар:ROOT
тек	тек:ROOT
шығармаларын	шығ:ROOT/ар:MORPH/ма:MORPH/лар:MORPH/ы:MORPH/н:MORPH
Сократ	Сократ:ROOT
бастайды	бас:ROOT/та:MORPH/й:MORPH/ды:MORPH
тиіс	тиіс:ROOT
игілігі	игі:ROOT/ліг:MORPH/і:MORPH
бірі	бір:ROOT/і:MORPH
жазды	жаз:ROOT/ды:MORPH
ғылым	ғылым:ROOT
тоқтайды	тоқта:ROOT/й:MORPH/ды:MORPH
билік	би:ROOT/лік:MORPH
осымен	осы:ROOT/мен:MORPH
парасаттылық	парасат:ROOT/ты:MORPH/лық:MORPH
мінсіз	мін:ROOT/сіз:MORPH
картезиандық	картезиан:ROOT/дық:MORPH
оның	о:ROOT/ның:MORPH
Алкивиад	Алкивиад:ROOT
геометриядан	геометрия:ROOT/дан:MORPH
жауап	жауап:ROOT
ақындар	ақын:ROOT/дар:MORPH
мәнін	мән:ROOT/і:MORPH/н:MORPH
келген	кел:ROOT/ген:MORPH
өзекті	өзек:ROOT/ті:MORPH
жанның	жан:ROOT/ның:MORPH
философиядан	философия:ROOT/дан:MORPH
үңгірге	үңгір:ROOT/ге:MORPH
Содан	Со:ROOT/дан:MORPH
сұхбаттарда	сұхбат:ROOT/тар:MORPH/да:MORPH
қабылдауға	қабыл:ROOT/да:MORPH/у:MORPH/ға:MORPH
екі	екі:ROOT
өрлеп	өрл:ROOT/еп:MORPH
шертеді	шерт:ROOT/е:MORPH/ді:MORPH
болжамдарға	болжам:ROOT/дар:MORPH/ға:MORPH
қазір	қазір:ROOT
біріктірілген	бірік:ROOT/тір:MORPH/іл:MORPH/ген:MORPH
Ойын	Ой:ROOT/ы:MORPH/н:MORPH
интеллектуалдық	интеллектуал:ROOT/дық:MORPH
маған	ма:ROOT/ған:MORPH
ғана	ғана:ROOT
мәселе	мәселе:ROOT
сүремін	сүр:ROOT/е:MORPH/мін:MORPH
өз	өз:ROOT
әлемнің	әлем:ROOT/нің:MORPH
да	да:ROOT
мезетте	мезет:ROOT/те:MORPH
бүкіл	бүкіл:ROOT
соған	со:ROOT/ған:MORPH
қалу	қал:ROOT/у:MORPH
оның	о:ROOT/ның:MORPH
кездестіреміз	кездес:ROOT/тір:MORPH/е:MORPH/міз:MORPH
байланысты	байланыс:ROOT/ты:MORPH
уақыт	уақыт:ROOT
бірнеше	бір:ROOT/неше:MORPH
кәсіп	кәсіп:ROOT
туралы	туралы:ROOT
тұрған	тұр:ROOT/ған:MORPH
жазады	жаз:ROOT/а:MORPH/ды:MORPH
тұратын	тұр:ROOT/атын:MORPH
салиқалы	салиқа:ROOT/лы:MORPH
адам	адам:ROOT
билікті	би:ROOT/лік:MORPH/ті:MORPH
тән	тән:ROOT
жылға	жыл:ROOT/ға:MORPH
таңқалдырды	таңқал:ROOT/дыр:MORPH/ды:MORPH
Енді	Енді:ROOT
объектілер	объекті:ROOT/лер:MORPH
мүмкін	мүмкін:ROOT
және	және:ROOT
кітабын	кітаб:ROOT/ы:MORPH/н:MORPH
айналуының	айнал:ROOT/у:MORPH/ы:MORPH/ның:MORPH
еңбегі	еңбе:ROOT/гі:MORPH
құрсаулау	құрсау:ROOT/ла:MORPH/у:MORPH
өзі	өз:ROOT/і:MORPH
ой	ой:ROOT
ғажайып	ғажайып:ROOT
тұрып	тұр:ROOT/ып:MORPH
жіберуді	жібер:ROOT/у:MORPH/ді:MORPH
бейне	бейне:ROOT
білім	біл:ROOT/ім:MORPH
білетінiміздей	біл:ROOT/етін:MORPH/iміз:MORPH/дей:MORPH
өте	өте:ROOT
адамды	адам:ROOT/ды:MORPH
арасындағы	ара:ROOT/сы:MORPH/нда:MORPH/ғы:MORPH
тиіп	ти:ROOT/іп:MORPH
алмай	ал:ROOT/ма:MORPH/й:MORPH
келді	кел:ROOT/ді:MORPH
сипаттайды	сипат:ROOT/та:MORPH/й:MORPH/ды:MORPH
тоғысқанымен	тоғыс:ROOT/қан:MORPH/ы:MORPH/мен:MORPH
мүмкіндік	мүмкін:ROOT/дік:MORPH
Сондықтан	Сондықтан:ROOT
тапсырамын	тапсыр:ROOT/а:MORPH/мын:MORPH
да	да:ROOT
Сондықтан	Сондық:ROOT/тан:MORPH
Энтони	Энтони:ROOT
өмірі	өмір:ROOT/і:MORPH
тұрады	тұр:ROOT/а:MORPH/ды:MORPH
біреулері	бір:ROOT/еу:MORPH/лер:MORPH/і:MORPH
мезетте	мезет:ROOT/те:MORPH
кітапқа	кітап:ROOT/қа:MORPH
жаңа	жаңа:ROOT
бұл	бұл:ROOT
шын	шын:ROOT
бермеуін	бер:ROOT/ме:MORPH/у:MORPH/і:MORPH/н:MORPH
әлемінде	әлем:ROOT/і:MORPH/н:MORPH/де:MORPH
жарылған	жар:ROOT/ыл:MORPH/ған:MORPH
өзінің	өз:ROOT/і:MORPH/нің:MORPH
қозғалысқа	қозғалыс:ROOT/қа:MORPH
басты	бас:ROOT/ты:MORPH
тиесілі	тиесі:ROOT/лі:MORPH
Өйткені	Өйткені:ROOT
тән	тән:ROOT
кеңейте	кеңей:ROOT/т:MORPH/е:MORPH
бастапқы	бастап:ROOT/қы:MORPH
табуда	табу:ROOT/да:MORPH
білеміз	біл:ROOT/е:MORPH/міз:MORPH
Өзінің	Өз:ROOT/і:MORPH/нің:MORPH
жүгіне	жүгін:ROOT/е:MORPH
табиғатын	табиғат:ROOT/ы:MORPH/н:MORPH
сөзінің	сөз:ROOT/і:MORPH/нің:MORPH
теориялық	теория:ROOT/лық:MORPH
түрінде	түр:ROOT/і:MORPH/н:MORPH/де:MORPH
ол	ол:ROOT
тарыдай	тары:ROOT/дай:MORPH
Шығарманы	Шығ:ROOT/ар:MORPH/ма:MORPH/ны:MORPH
Бэкон	Бэкон:ROOT
жекеге	жеке:ROOT/ге:MORPH
тақырыбы	тақырыб:ROOT/ы:MORPH
достық	дос:ROOT/тық:MORPH
адамдар	адам:ROOT/дар:MORPH
көруге	көр:ROOT/у:MORPH/ге:MORPH
идеялар	идея:ROOT/лар:MORPH
ер	ер:ROOT
Теофил	Теофил:ROOT
Сократ	Сократ:ROOT
ғалымфизик	ғалымфизик:ROOT
алдымен	алдымен:ROOT
болғанын	болға:ROOT/нын:MORPH
ред	ред:ROOT
ауыр	ауыр:ROOT
танымал	танымал:ROOT
ақиқатқа	ақиқат:ROOT/қа:MORPH
жиі	жиі:ROOT
кезінде	кез:ROOT/і:MORPH/н:MORPH/де:MORPH
жасалады	жаса:ROOT/л:MORPH/а:MORPH/ды:MORPH
сәт	сәт:ROOT
соң	соң:ROOT
қолына	қол:ROOT/ы:MORPH/на:MORPH
алмасуға	алмас:ROOT/у:MORPH/ға:MORPH
қолдану	қолдан:ROOT/у:MORPH
Платон	Платон:ROOT
бірден	бір:ROOT/ден:MORPH
көрсетен	көр:ROOT/се:MORPH/т:MORPH/ен:MORPH
мақалы	мақал:ROOT/ы:MORPH
ғана	ғана:ROOT
болып	бол:ROOT/ып:MORPH
бірлігін	бір:ROOT/ліг:MORPH/і:MORPH/н:MORPH
ерекше	ерекше:ROOT
теориялар	теория:ROOT/лар:MORPH
кенеттен	кенет:ROOT/тен:MORPH
біртұтас	бір:ROOT/тұтас:MORPH
де	де:ROOT
Өйткені	Өйткені:ROOT
зерттеу	зерт:ROOT/те:MORPH/у:MORPH
ал	ал:ROOT
жазған	жаз:ROOT/ған:MORPH
деп	де:ROOT/п:MORPH
мүлде	мүлде:ROOT
ал	ал:ROOT
аламыз	ала:ROOT/мыз:MORPH
тарауды	тарау:ROOT/ды:MORPH
алайық	ала:ROOT/й:MORPH/ық:MORPH
пайымдаудың	пайым:ROOT/да:MORPH/у:MORPH/дың:MORPH
арнасына	арна:ROOT/сы:MORPH/на:MORPH
беруге	бер:ROOT/у:MORPH/ге:MORPH
байланыстырылады	байланыс:ROOT/тыр:MORPH/ыл:MORPH/а:MORPH/ды:MORPH
философ	философ:ROOT
қалпында	қалп:ROOT/ы:MORPH/н:MORPH/да:MORPH
